NAME,the_geom,ADDRESS1,ADDRESS2,CITY,ZIP,long,lat
Stewart Waltzer Co,POINT (-74.00394089705402 40.7287135272124),200 W Houston St,Apt 3D,Manhattan,10014,-74.0039409,40.72871353
Storefront For Art and Architecture,POINT (-73.9970682973752 40.72147742820455),97 Kenmare St,,Manhattan,10012,-73.9970683,40.72147743
"Stricoff Fine Art, Ltd.",POINT (-74.0057107770999 40.74989327559004),564 W 25th St,,Manhattan,10001,-74.00571078,40.74989328
Studio Gallery,POINT (-73.97428548023957 40.78933482906021),205 W 88th St,,Manhattan,10024,-73.97428548,40.78933483
Studio Tamar,POINT (-73.98429765855359 40.73821552093811),152 E 22nd St,,Manhattan,10010,-73.98429766,40.73821552
Stux Gallery,POINT (-74.0048091965919 40.74932238784064),530 W 25th St,,Manhattan,10001,-74.0048092,40.74932239
Sugarhill Arts Center,POINT (-73.94709266575242 40.830220401900085),3658 Broadway,,Manhattan,10031,-73.94709267,40.8302204
Suite 106,POINT (-73.99892431070742 40.72359612141827),112 Mercer St,,Manhattan,10012,-73.99892431,40.72359612
Sun Yi Jun,POINT (-73.9953458096245 40.71676281529191),83 Bowery,,Manhattan,10002,-73.99534581,40.71676282
Susan Aberbach Fine Art,POINT (-73.97168388843812 40.76228904795565),41 E 57th St,,Manhattan,10022,-73.97168389,40.76228905
Susan Megson Gallery,POINT (-74.00081320910148 40.72624920444544),456 W Broadway,,Manhattan,10012,-74.00081321,40.7262492
Susan Rolfe Associates Fine Arts Ltd,POINT (-73.9711103443112 40.76448430163076),654 Madison Ave,,Manhattan,10021,-73.97111034,40.7644843
Susan Sheehan Gallery,POINT (-74.00605481573004 40.747911706928555),535 West 22nd Street,3rd Floor,Manhattan,10011,-74.00605482,40.74791171
Sutherland M,POINT (-73.96722779023571 40.766960246471086),620 Park Ave,,Manhattan,10021,-73.96722779,40.76696025
Swiss Institute,POINT (-74.00006289362192 40.72224748487797),495 Broadway,3rd Fl,Manhattan,10012,-74.00006289,40.72224748
Taglialatella Dominic J,POINT (-74.00394584152615 40.74952510204985),511 West 25th Street,2nd Floor,Manhattan,10001,-74.00394584,40.7495251
Takako Tsuji Gallery,POINT (-73.97173794165505 40.762212046489296),41 E 57th St,,Manhattan,10022,-73.97173794,40.76221205
Talwar Gallery,POINT (-73.98882748825802 40.7354581457437),108 E 16th St,Fl 3,Manhattan,10003,-73.98882749,40.73545815
Tambaran Gallery,POINT (-73.96139898564891 40.77879668705261),5 E 82nd St,,Manhattan,10028,-73.96139899,40.77879669
Tang Sarina,POINT (-73.96443413679928 40.774990807616135),3 E 76th St,,Manhattan,10021,-73.96443414,40.77499081
Tanya Bonakdar Galery,POINT (-74.00619627853678 40.7471718785601),521 W 21st St,,Manhattan,10011,-74.00619628,40.74717188
Tate,POINT (-74.00618826198466 40.74160876928588),413 W 14th St,Ste 3,Manhattan,10014,-74.00618826,40.74160877
Tatistcheff Gallery Inc,POINT (-74.00694992343615 40.746593654628896),529 West 20th Street,6th Floor,Manhattan,10011,-74.00694992,40.74659365
Team Gallery,POINT (-74.00393729550223 40.75021954194053),527 W. 26th St.,,Manhattan,10001,-74.0039373,40.75021954
Teller Susan Gallery,POINT (-73.99746436311553 40.72429065859904),568 Broadway,,Manhattan,10012,-73.99746436,40.72429066
Tenri Cultural Institute,POINT (-73.99609362076046 40.73640266876522),43A W. 13th St.,1st Fl.,Manhattan,10011,-73.99609362,40.73640267
Thaw E V & Co,POINT (-73.96487147686322 40.77042622615332),726 Park Ave,# 730,Manhattan,10021,-73.96487148,40.77042623
The Affordable Art Fair Llc,POINT (-73.99907018734407 40.741281452486206),216 W 18th St,Ph,Manhattan,10011,-73.99907019,40.74128145
The Axa Gallery,POINT (-73.98178280268492 40.76169418454769),787 7th Ave,,Manhattan,10019,-73.9817828,40.76169418
The Bohen Foundation,POINT (-74.00650280703749 40.74080796161279),415 W 13th St,,Manhattan,10014,-74.00650281,40.74080796
The Chinese Art Gallery,POINT (-73.965656949278 40.75795522036082),1050 2nd Ave,,Manhattan,10022,-73.96565695,40.75795522
